ts_iso,ts_epoch,event,market_slug,event_url,market_url,price_prev,mid_before,mid,delta,abs_delta,z,abs_z,direction_strength,signal,volume,best_bid,best_ask,spread,percentile,severity,burst,trade_hint,regime,game_phase,pm_period,pm_score_diff
2026-02-24T02:38:26Z,1771900706,Sacramento vs. Memphis,aec-nba-sac-mem-2026-02-23,https://polymarket.us/event/aec-nba-sac-mem-2026-02-23,https://polymarket.us/market/aec-nba-sac-mem-2026-02-23,0.68000,0.68000,0.68500,0.00500,0.00500,2.00,2.00,0.010000,SPIKE,243025,0.6700,0.7000,0.03000,100%,WATCH,,FADE,MEAN_REVERT,LIVE,3,6
2026-02-24T02:38:27Z,1771900707,Sacramento vs. Memphis,aec-nba-sac-mem-2026-02-23,https://polymarket.us/event/aec-nba-sac-mem-2026-02-23,https://polymarket.us/market/aec-nba-sac-mem-2026-02-23,0.68500,0.68500,0.69500,0.01000,0.01000,2.89,2.89,0.028868,SPIKE,244609,0.6700,0.7200,0.05000,100%,WATCH,,FADE,MEAN_REVERT,LIVE,3,6
2026-02-24T02:38:28Z,1771900708,Sacramento vs. Memphis,aec-nba-sac-mem-2026-02-23,https://polymarket.us/event/aec-nba-sac-mem-2026-02-23,https://polymarket.us/market/aec-nba-sac-mem-2026-02-23,0.69500,0.68500,0.69000,0.00500,0.00500,1.52,1.52,0.007582,SPIKE,244609,0.6700,0.7100,0.04000,93%,WATCH,,,MEAN_REVERT,LIVE,3,6
2026-02-24T02:38:28Z,1771900708,San Antonio vs. Detroit,aec-nba-sa-det-2026-02-23,https://polymarket.us/event/aec-nba-sa-det-2026-02-23,https://polymarket.us/market/aec-nba-sa-det-2026-02-23,0.97500,0.97500,0.97000,-0.00500,0.00500,-1.34,1.34,-0.006708,DIP,610402,0.9600,0.9800,0.02000,98%,INFO,,,MEAN_REVERT,LIVE,4,10
2026-02-24T02:38:28Z,1771900708,Sacramento vs. Memphis,aec-nba-sac-mem-2026-02-23,https://polymarket.us/event/aec-nba-sac-mem-2026-02-23,https://polymarket.us/market/aec-nba-sac-mem-2026-02-23,0.68500,0.69000,0.69500,0.00500,0.00500,2.10,2.10,0.010520,SPIKE,244609,0.6800,0.7100,0.03000,99%,WATCH,,FADE,MEAN_REVERT,LIVE,3,6
2026-02-24T02:38:29Z,1771900709,Sacramento vs. Memphis,aec-nba-sac-mem-2026-02-23,https://polymarket.us/event/aec-nba-sac-mem-2026-02-23,https://polymarket.us/market/aec-nba-sac-mem-2026-02-23,0.69000,0.69500,0.70000,0.00500,0.00500,2.35,2.35,0.011767,SPIKE,244609,0.6800,0.7200,0.04000,93%,WATCH,,FADE,MEAN_REVERT,LIVE,3,6
2026-02-24T02:38:29Z,1771900709,Sacramento vs. Memphis,aec-nba-sac-mem-2026-02-23,https://polymarket.us/event/aec-nba-sac-mem-2026-02-23,https://polymarket.us/market/aec-nba-sac-mem-2026-02-23,0.69500,0.70000,0.69500,-0.00500,0.00500,1.42,1.42,-0.007113,DIP,244609,0.6800,0.7100,0.03000,93%,INFO,,,MEAN_REVERT,LIVE,3,6
2026-02-24T02:38:32Z,1771900712,Sacramento vs. Memphis,aec-nba-sac-mem-2026-02-23,https://polymarket.us/event/aec-nba-sac-mem-2026-02-23,https://polymarket.us/market/aec-nba-sac-mem-2026-02-23,0.68500,0.68000,0.67500,-0.00500,0.00500,-1.51,1.51,-0.007540,DIP,244609,0.6600,0.6900,0.03000,91%,WATCH,,,MEAN_REVERT,LIVE,3,6
2026-02-24T02:38:32Z,1771900712,Sacramento vs. Memphis,aec-nba-sac-mem-2026-02-23,https://polymarket.us/event/aec-nba-sac-mem-2026-02-23,https://polymarket.us/market/aec-nba-sac-mem-2026-02-23,0.67500,0.68000,0.67500,-0.00500,0.00500,-1.40,1.40,-0.006985,DIP,244609,0.6600,0.6900,0.03000,92%,INFO,,,MEAN_REVERT,LIVE,3,6
2026-02-24T02:38:35Z,1771900715,Sacramento vs. Memphis,aec-nba-sac-mem-2026-02-23,https://polymarket.us/event/aec-nba-sac-mem-2026-02-23,https://polymarket.us/market/aec-nba-sac-mem-2026-02-23,0.67500,0.68000,0.70000,0.02000,0.02000,2.24,2.24,0.044883,SPIKE,244617,0.6800,0.7200,0.04000,100%,WATCH,,FADE,MEAN_REVERT,LIVE,3,6
